"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"160",337,"E329","Barnhart","Indoors",NA,NA,2021-04-03,1120,8,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"26.8","26.9","26.1","28","Positive (3/3)",26.6,NA,NA,NA,"uo","Positive"
"161",34,"E33","Barnhart","Port",NA,NA,2021-03-24,1228,2,5,NA,"Port #33","Swab",NA,NA,NA,0,2,2,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"31.6","No Amp","30.1","27.9","Positive (2/3)",33.9,NA,NA,NA,"uo","Positive"
"162",338,"E330","Barnhart","Indoors",NA,NA,2021-04-03,1122,8,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.1","No Amp","25.9","26.1","Positive (2/3)",32.3,NA,NA,NA,"uo","Positive"
"163",344,"E336","Barnhart","Port",NA,NA,2021-04-03,1137,12,5,NA,"Port #26","Swab",NA,NA,"202",1,10,16,6,"202, 302, 402, 502, 602, 702",NA,"28.4","31.3","28.7","25.4","Positive (3/3)",29.5,NA,NA,NA,"uo","Positive"
"164",345,"E337","Barnhart","Roof","4/2/2021",1102,2021-04-03,1139,12,5,NA,"Exhaust #26","PUF",NA,NA,"202",1,10,16,6,"202, 302, 402, 502, 602, 702",NA,"No Amp","No Amp","No Amp","27.5","Negative",40,NA,NA,NA,"uo","Negative"
"165",346,"E338","Barnhart","Port",NA,NA,2021-04-03,1140,12,7,NA,"Port #27","Swab",NA,NA,"204",1,10,16,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,"31.6","No Amp","No Amp","28.2","Negative",37.2,NA,NA,NA,"uo","Negative"
"166",35,"E34","Barnhart","Roof","3/23/2021",1133,2021-03-24,1228,2,5,"I","Exhaust #33","PUF",NA,NA,NA,0,2,2,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"31.7","31.2","No Amp","28.9","Positive (2/3)",34.3,NA,NA,NA,"uo","Positive"
"167",348,"E340","Barnhart","Port",NA,NA,2021-04-03,1144,12,9,NA,"Port #30","Swab",NA,NA,"206, 208",2,10,16,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"32.6","No Amp","No Amp","30.5","Negative",37.5,NA,NA,NA,"uo","Negative"
"168",349,"E341","Barnhart","Roof","4/2/2021",1336,2021-04-03,1145,12,9,"Z","Exhaust #30","PUF","TF was not running, switch is on, no dust line on PUF",NA,"206, 208",2,10,16,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"33.8","No Amp","No Amp","26.2","Negative",37.9,NA,NA,NA,"uo","Negative"
"169",350,"E342","Barnhart","Port",NA,NA,2021-04-03,1147,12,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,10,16,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.8","No Amp","No Amp","30.2","Negative",37.6,NA,NA,NA,"uo","Negative"
"170",351,"E343","Barnhart","Roof","4/2/2021",1338,2021-04-03,1148,12,8,"F","Exhaust #31","PUF","TF was not running, switch is on, no dust line on PUF",NA,"210, 212",2,10,16,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"No Amp","25.8","No Amp","No Amp","Negative",35.3,NA,NA,NA,"uo","Negative"
"171",353,"E345","Barnhart","Roof","4/2/2021",NA,2021-04-03,1150,12,4,NA,"Exhaust #34","PUF",NA,NA,"214",1,10,16,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"28.3","29.4","No Amp","26.7","Positive (2/3)",32.5,NA,NA,NA,"uo","Positive"
"172",354,"E346","Barnhart","Port",NA,NA,2021-04-03,1151,12,4,NA,"Port #32","Swab",NA,NA,"209, 211",2,10,16,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"28.7","29.1","No Amp","27.1","Positive (2/3)",32.6,NA,NA,NA,"uo","Positive"
"173",355,"E347","Barnhart","Roof","4/2/2021",1346,2021-04-03,1153,12,4,"G","Exhaust #32","PUF",NA,NA,"209, 211",2,10,16,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"33","No Amp","No Amp","27","Negative",37.7,NA,NA,NA,"uo","Negative"
"174",356,"E348","Barnhart","Port",NA,NA,2021-04-03,1155,12,3,NA,"Port #29","Swab",NA,NA,"105, 205, 207",3,10,16,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"29.9","31.5","31.3","27.3","Positive (3/3)",30.9,NA,NA,NA,"uo","Positive"
"175",357,"E349","Barnhart","Roof","4/2/2021",1348,2021-04-03,1156,12,3,"C","Exhaust #29","PUF",NA,NA,"105, 205, 207",3,10,16,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"30.5","27.7","No Amp","26.2","Positive (2/3)",32.7,NA,NA,NA,"uo","Positive"
"176",36,"E35","Barnhart","Port",NA,NA,2021-03-24,1230,2,4,NA,"Port #32","Swab",NA,NA,NA,0,2,2,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.5","31.2","28.6","29.1","Positive (3/3)",30.4,NA,NA,NA,"uo","Positive"
"177",358,"E350","Barnhart","Roof","4/2/2021",1350,2021-04-03,1159,12,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,10,16,6,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"32.2","No Amp","No Amp","26.7","Negative",37.4,NA,NA,NA,"uo","Negative"
"178",360,"E351","Barnhart","Indoors",NA,NA,2021-04-04,945,9,NA,NA,"W. Entrance Door Handle Exterior","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"32.9","No Amp","No Amp","27.4","Negative",37.6,NA,NA,NA,"uo","Negative"
"179",361,"E352","Barnhart","Indoors",NA,NA,2021-04-04,946,9,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.5","33.1","No Amp","27.6","Positive (2/3)",34.9,NA,NA,NA,"uo","Positive"
"180",362,"E353","Barnhart","Indoors",NA,NA,2021-04-04,941,9,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"33","No Amp","No Amp","27.9","Negative",37.7,NA,NA,NA,"uo","Negative"
"181",363,"E354","Barnhart","Indoors",NA,NA,2021-04-04,942,9,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.3","30.6","31.1","26.9","Positive (3/3)",31,NA,NA,NA,"uo","Positive"
"182",364,"E355","Barnhart","Indoors",NA,NA,2021-04-04,943,9,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"23.5","24.2","21.1","26.2","Positive (3/3)",22.9,NA,NA,NA,"uo","Positive"
"183",365,"E356","Barnhart","Indoors",NA,NA,2021-04-04,944,9,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"31.2","33.1","No Amp","27.4","Positive (2/3)",34.8,NA,NA,NA,"uo","Positive"
